R	53.3281	-6.22116	E237	10 Oct 2023	E237\n14:50 - Malahide to Bray (0 mins late)\nArrived Sandymount next stop Sydney Parade	Southbound
R	53.3281	-6.22116	E929	10 Oct 2023	E929\n14:55 - Bray to Howth (0 mins late)\nArrived Sandymount next stop Lansdowne Road	Northbound
R	53.3334	-6.40628	A231	10 Oct 2023	A231\n20:25 - Cork to Dublin Heuston (30 mins late)\nDeparted Clondalkin next stop Dublin Heuston	To Dublin Heuston
R	53.334	-6.37868	P219	10 Oct 2023	P219\n14:28 - Portlaoise to Dublin Heuston (0 mins late)\nArrived Park West and Cherry Orchard next stop Dublin Heuston	To Dublin Heuston
R	53.3345	-6.43038	P412	10 Oct 2023	P412\n15:08 - Newbridge to Dublin Pearse (0 mins late)\nDeparted Kishogue next stop Park West and Cherry Orchard	To Dublin Pearse
R	53.3363	-8.24081	A706	10 Oct 2023	A706\n13:25 - Dublin Heuston to Galway (16 mins late)\nDeparted Ballinasloe next stop Woodlawn	To Galway
R	53.3395	-7.61596	A807	10 Oct 2023	A807\n13:10 - Westport to Dublin Heuston (16 mins late)\nArrived Clara next stop Tullamore	To Dublin Heuston
R	53.3433	-6.24829	E827	10 Oct 2023	E827\n14:34 - Greystones to Malahide (2 mins late)\nArrived Dublin Pearse next stop Tara Street	Northbound
R	53.3531	-6.24591	D412	10 Oct 2023	D412\n15:20 - Grand Canal Dock to Hazelhatch (0 mins late)\nArrived Dublin Connolly next stop Drumcondra	Southbound
R	53.3531	-6.24591	E119	10 Oct 2023	E119\n15:00 - Howth to Greystones (2 mins late)\nArrived Dublin Connolly next stop Tara Street	Southbound
R	53.3629	-6.22753	D814	10 Oct 2023	D814\n15:23 - Dublin Connolly to Drogheda (1 mins late)\nDeparted Clontarf Road next stop Malahide	Northbound
R	53.3632	-6.25908	D920	10 Oct 2023	D920\n15:12 - Dublin Pearse to Maynooth (1 mins late)\nDeparted Drumcondra next stop Broombridge	Northbound
R	53.3704	-6.50598	A908	10 Oct 2023	A908\n15:00 - Dublin Connolly to Sligo (1 mins late)\nDeparted Leixlip (Louisa Bridge) next stop Maynooth	Northbound
R	53.3704	-6.50598	D919	10 Oct 2023	D919\n14:46 - Dublin Connolly to Maynooth (3 mins late)\nDeparted Leixlip (Louisa Bridge) next stop Maynooth	Northbound
R	53.373	-6.20442	E238	10 Oct 2023	E238\n15:10 - Malahide to Bray (0 mins late)\nArrived Killester next stop Clontarf Road	Southbound
R	53.3786	-6.19131	A130	10 Oct 2023	A130\n15:20 - Dublin Connolly to Belfast (1 mins late)\nDeparted Harmonstown next stop Drogheda	Northbound
R	53.3831	-6.4242	P749	10 Oct 2023	P749\n15:07 - Maynooth to Dublin Connolly (3 mins late)\nDeparted Clonsilla next stop Coolmine	Southbound
R	53.387	-6.16163	E826	10 Oct 2023	E826\n14:25 - Bray to Malahide (2 mins late)\nDeparted Kilbarrack next stop Howth Junction	Northbound
R	53.3917	-6.13678	E239	10 Oct 2023	E239\n15:20 - Howth to Bray (1 mins late)\nArrived Bayside next stop Howth Junction	Southbound
R	53.4855	-6.15134	P615	10 Oct 2023	P615\n14:50 - Drogheda to Bray (4 mins late)\nDeparted Donabate next stop Malahide	Southbound
R	53.4933	-7.15576	A909	10 Oct 2023	A909\n13:05 - Sligo to Dublin Connolly (6 mins late)\nDeparted Killucan next stop Enfield	Southbound
R	53.6118	-6.18226	D813	10 Oct 2023	D813\n14:50 - Dublin Connolly to Drogheda (0 mins late)\nArrived Balbriggan next stop Gormanston	Northbound
R	53.6118	-6.18226	P616	10 Oct 2023	P616\n15:10 - Drogheda to Dublin Pearse (1 mins late)\nDeparted Balbriggan next stop Skerries	Southbound
R	53.9383	-8.10657	A906	10 Oct 2023	A906\n13:00 - Dublin Connolly to Sligo (6 mins late)\nDeparted Carrick on Shannon next stop Boyle	Northbound
R	54.0007	-6.41291	A128	10 Oct 2023	A128\n13:20 - Dublin Connolly to Belfast (11 mins late)\nDeparted Dundalk next stop Newry	Northbound
R	54.0007	-6.41291	A129	10 Oct 2023	A129\n14:05 - Belfast to Dublin Connolly (0 mins late)\nDeparted Dundalk next stop Drogheda	Southbound
R	54.0887	-8.52088	A911	10 Oct 2023	A911\n15:05 - Sligo to Dublin Connolly (4 mins late)\nDeparted Ballymote next stop Boyle	Southbound
T	53.3433	-6.24829	P667	10 Oct 2023	P667\n14:37 - Maynooth to Dublin Pearse(-2 mins late)\nTERMINATED Dublin Pearse at 15:26	Southbound
T	53.3891	-6.07401	E927	10 Oct 2023	E927\n14:04 - Greystones to Howth(0 mins late)\nTERMINATED Howth at 15:28	Northbound
T	53.4349	-6.46898	D316	10 Oct 2023	D316\n15:18 - Clonsilla to M3 Parkway(-1 mins late)\nTERMINATED M3 Parkway at 15:28	Northbound
